Date,Open,High,Low,Close,Volume,Adj Close
2017-01-17,27.33,27.459999,27.059999,27.290001,59700,27.290001
2017-01-13,27.18,27.440001,27.030001,27.379999,175800,27.379999
2017-01-12,27.709999,27.709999,27.139999,27.25,63800,27.25
2017-01-11,27.540001,27.75,27.059999,27.67,68300,27.67
2017-01-10,27.440001,27.65,27.32,27.51,109600,27.51
2017-01-09,28.040001,28.24,27.52,27.52,79300,27.52
2017-01-06,28.32,28.67,28.059999,28.17,129900,28.17
2017-01-05,28.450001,28.76,28.00,28.280001,92400,28.280001
2017-01-04,28.66,28.879999,28.26,28.50,129000,28.50
2017-01-03,28.860001,28.860001,28.25,28.530001,107900,28.530001
2016-12-30,28.719999,28.83,28.459999,28.639999,56000,28.639999
2016-12-29,28.700001,28.959999,28.65,28.77,44300,28.77
2016-12-28,28.870001,29.10,28.65,28.719999,30700,28.719999
2016-12-27,28.620001,29.110001,28.620001,28.93,82600,28.93
2016-12-23,28.82,29.040001,28.58,28.690001,28700,28.690001
2016-12-22,28.719999,28.85,28.459999,28.77,54800,28.77
2016-12-21,28.90,29.09,28.84,28.84,50600,28.84
2016-12-20,28.879999,29.059999,28.620001,28.91,79700,28.91
2016-12-19,29.00,29.059999,28.559999,28.73,80900,28.73
